"","step","obs_r2","exp_l_CI","exp_r2","exp_u_CI","n"
"1",1,2.12505603858126,20.9987771697851,26.9244146165001,33.5304357723658,56
"2",2,17.0798370648524,42.345055916691,54.8790417047947,68.0792506548275,55
"3",3,27.3539985769587,63.8416059040484,83.0161863945494,101.645174853025,54
"4",4,58.0202260794195,87.1209297179614,111.185666816743,136.705931817863,53
"5",5,91.979263625008,109.060710296483,139.360875999252,174.589704517315,46
"6",6,98.0326596191587,129.617103515913,167.537100117633,208.178664781801,44
"7",7,147.746657872931,154.327979448384,195.713504047137,241.153490519812,43
"8",8,196.475364938558,173.219678938985,223.889939832879,275.811143374616,40
"9",9,208.570690120111,200.02809262551,252.066381262432,317.83958593259,39
"10",10,184.947157889487,215.743218731715,280.242823691871,357.198275473097,32
"11",11,256.293001737246,236.460917003762,308.419266298454,394.798540782656,32
"12",12,283.039829350741,249.068570643381,336.595708936422,433.004308708346,29
"13",13,279.221766899214,279.134109292943,364.77215157995,459.757720108887,31
"14",14,275.872378995162,299.993522651679,392.948594224462,498.121541401926,31
"15",15,335.779921434058,317.921748451707,421.125036869149,540.965658973727,28
"16",16,282.764489308183,331.344044356544,449.301479513868,587.613690763517,22
"17",17,311.766721790497,351.540014427557,477.477922158591,614.630317007517,23
"18",18,305.103477413637,366.9361659656,505.654364803316,662.386494520676,22
"19",19,346.661508865549,391.598199919011,533.830807448041,696.358626720782,23
